item_name,brand,size,price,calories,carbohydrates,sugar,protein,fat
Lactaid Lactose Free 2% Reduced Fat Milk,Lactaid,1/2 gal,,,,,,
Simple Truth Organic® Whole Milk,Simple Truth Organic,1/2 gal,,,,,,
Almond Breeze Unsweetened Vanilla Almondmilk,Almond Breeze,1/2 gal,,,,,,
Blue Diamond Almond Breeze Original Almond Milk,Almond Breeze,32 fl oz,,,,,,
Kroger® Lactose Free Vitamin D Milk,Kroger,1/2 gal,,,,,,
Food for Life 7 Sprouted Grains Bread,Food for Life,24 oz,,,,,,
On-Cor® Selects Breaded Chicken Parmagiana Patties with Tomato Sauce Family Size Frozen Meal,On-Cor,26 oz,,,,,,
Red Baron Singles French Bread Supreme Pizzas 2 Count,Red Baron,2 ct / 11.6 oz,,,,,,
Simple Truth Organic® Whole Milk,Simple Truth Organic,1/2 gal,,,,,,
Almond Breeze Unsweetened Vanilla Almondmilk,Almond Breeze,1/2 gal,,,,,,
Blue Diamond Almond Breeze Original Almond Milk,Almond Breeze,32 fl oz,,,,,,
Silk Unsweet Coconutmilk,Silk,1/2 gal,,,,,,
Nest Fresh Cage Free Large Brown Eggs,Nest Fresh,12 ct,,,,,,
Fried Chicken Breast (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 ct,,,,,,
Chicken Wing (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 each,,,,,,
Deli Hand-Breaded Chicken Tenders Hot (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 lb,,,,,,
Tyson® Boneless Skinless Chicken Breast Tenderloins,Tyson,2.5 lb,,,,,,
Deli Fried Chicken Leg (NOT AVAILABLE BEFORE 11:00 am DAILY),The Chicken Company,1 ct,,,,,,
Beef Loin Boneless New York Steak,,1 lb,,,,,,
Kroger® 100% Pure Beef Quarter Pound Burgers,Kroger,8 ct / 32 oz,,,,,,
WD Brand 73% Lean Ground Beef,WD Brand,1 lb,,,,,,
Private Selection™ Ground Beef 80% Lean,Private Selection,1 lb,,,,,,
Private Selection™ Angus Beef Top Sirloin Steak,Private Selection,1 lb,,,,,,
Bush's Best Brown Sugar Hickory Baked Beans,Bush's Best,28 oz,,,,,,
RiceSelect Original Couscous,RiceSelect,26.5 oz,,,,,,
DeLallo Orzo No 65,DeLallo,16 oz,,,,,,
Marukan Seasoned Gourmet Rice Vinegar,Marukan,12 fl oz,,,,,,
Marie Callender's Aged Cheddar Cheesy Chicken & Rice Bowl,Marie Callender's,12 oz,,,,,,
RiceSelect Jasmati White Rice,RiceSelect,32 oz,,,,,,
Del Monte Whole Kernel Sweet Fiesta Corn,Del Monte,15.25 oz,,,,,,
Del Monte Cream Style Sweet Corn - No Salt Added,Del Monte,14.75 oz,,,,,,
Gold Medal™ All Purpose Flour,Gold Medal,10 lb,,,,,,
